URL,Year,School,Conf,Class,Pos,G,college_solo_tackles,college_assisted_tackle,college_total_tackles,college_tackles_for_loss,college_sk,college_int,college_int_yds,college_int_td,college_passes_defended,college_fumbles_recov,college_fumbles_recov_yds,college_fumbles_recov_td,college_fumbles_forced
https://www.sports-reference.com/cfb/players/nathan-gerry-1.html,,Nebraska,Big Ten,,,48.0,163.0,110.0,273.0,19.0,2.0,13.0,200.0,0.0,19.0,1.0,0.0,0.0,3.0
https://www.sports-reference.com/cfb/players/nathan-hairston-1.html,,Temple,American,,,32.0,31.0,9.0,40.0,3.0,0.0,2.0,29.0,0.0,4.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/nazair-jones-1.html,,North Carolina,ACC,,,34.0,72.0,74.0,146.0,22.0,5.0,2.0,20.0,0.0,10.0,3.0,0.0,0.0,3.0
https://www.sports-reference.com/cfb/players/noble-nwachukwu-1.html,,West Virginia,Big 12,,,39.0,83.0,34.0,117.0,26.5,13.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,3.0
https://www.sports-reference.com/cfb/players/obi-melifonwu-1.html,,Connecticut,American,,,48.0,221.0,128.0,349.0,11.0,0.0,8.0,37.0,0.0,16.0,2.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/pat-oconnor-1.html,,Eastern Michigan,MAC,,,36.0,68.0,98.0,166.0,34.0,20.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,7.0
https://www.sports-reference.com/cfb/players/pita-taumoepenu-3.html,,Utah,Pac-12,,,16.0,31.0,14.0,45.0,15.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
https://www.sports-reference.com/cfb/players/quincy-wilson-2.html,,Florida,SEC,,,37.0,47.0,34.0,81.0,4.5,1.0,6.0,93.0,1.0,14.0,0.0,0.0,0.0,1.0
https://www.sports-reference.com/cfb/players/raekwon-mcmillan-1.html,,Ohio State,Big Ten,,,39.0,136.0,139.0,275.0,18.0,6.0,1.0,24.0,1.0,10.0,1.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/rasul-douglas-1.html,,West Virginia,Big 12,,,18.0,55.0,22.0,77.0,3.5,1.0,9.0,101.0,1.0,9.0,0.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/rayshawn-jenkins-1.html,,Miami (FL),ACC,,,48.0,135.0,66.0,201.0,8.5,1.5,9.0,62.0,0.0,15.0,1.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/reuben-foster-1.html,,Alabama,SEC,,,45.0,124.0,99.0,223.0,24.0,7.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/riley-bullough-1.html,,Michigan State,Big Ten,,,42.0,61.0,93.0,154.0,12.5,5.0,4.0,60.0,1.0,1.0,2.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/ryan-anderson-1.html,,Alabama,SEC,,,44.0,68.0,60.0,128.0,39.5,19.0,1.0,26.0,1.0,3.0,6.0,0.0,0.0,6.0
https://www.sports-reference.com/cfb/players/ryan-glasgow-1.html,,Michigan,Big Ten,,,30.0,38.0,39.0,77.0,13.5,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/shalom-luani-1.html,,Washington State,Pac-12,,,25.0,114.0,43.0,157.0,11.5,2.0,8.0,199.0,1.0,11.0,1.0,0.0,0.0,3.0
https://www.sports-reference.com/cfb/players/shaquill-griffin-1.html,,UCF,American,,,34.0,79.0,34.0,113.0,3.0,0.0,6.0,168.0,2.0,27.0,1.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/sidney-jones-1.html,,Washington,Pac-12,,,40.0,105.0,40.0,145.0,8.5,1.0,8.0,147.0,1.0,21.0,3.0,70.0,1.0,6.0
https://www.sports-reference.com/cfb/players/sojourn-shelton-1.html,,Wisconsin,Big Ten,,,53.0,98.0,31.0,129.0,2.0,0.0,9.0,58.0,0.0,30.0,1.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/solomon-thomas-2.html,,Stanford,Pac-12,,,26.0,63.0,35.0,98.0,24.5,12.0,0.0,0.0,0.0,0.0,4.0,34.0,2.0,1.0
https://www.sports-reference.com/cfb/players/stevie-tuikolovatu-1.html,,Utah,Pac-12,,,28.0,46.0,43.0,89.0,9.0,2.5,0.0,0.0,0.0,3.0,4.0,37.0,1.0,0.0
https://www.sports-reference.com/cfb/players/taco-charlton-1.html,,Michigan,Big Ten,,,33.0,56.0,35.0,91.0,28.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
https://www.sports-reference.com/cfb/players/takkarist-mckinley-1.html,,UCLA,Pac-12,,,28.0,80.0,19.0,99.0,28.0,16.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,6.0
https://www.sports-reference.com/cfb/players/tanner-vallejo-1.html,,Boise State,MWC,,,42.0,162.0,113.0,275.0,35.0,5.5,1.0,63.0,1.0,7.0,3.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/tanzel-smart-1.html,,Tulane,American,,,42.0,102.0,81.0,183.0,39.5,9.5,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0
https://www.sports-reference.com/cfb/players/tarell-basham-1.html,,Ohio,MAC,,,50.0,75.0,77.0,152.0,38.5,27.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0
